Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Importer
Central African Republic	3700	2078	2210	1528	1809	1940	1607	1846	1406	1810	1349	1327	Germany
Grenada	932	1405	3543	4246	7254	3100	1840	2463	3573	3406	1831	1193	Germany
French Southern and Antarctic Territories	3058	2560	8378	7086	648	107	300	925	371	239	543	1153	Germany
Turkmenistan	53920	92339	66578	97022	12761	183597	10518	57583	6562	2915	1027	1139	Germany
Niue	67	362	36	0	2	0	76	564	588	783	264	1008	Germany
Tokelau	167	263	12	11	0	41	74	70	227	23962	299	935	Germany
Benin	3647	3503	10453	3671	10523	1719	1136	1160	979	930	3130	900	Germany
United States Minor Outlying Islands	148	172	78	776	297	53	84	97	87	511	445	773	Germany
Timor-Leste	2900	7525	19224	7181	5178	9246	3377	1503	4115	2740	1362	738	Germany
New Caledonia	1005	613	1238	733	569	805	982	928	1267	1078	608	732	Germany
Niger	133	96	116	126	408	124	109	150	197	251	1030	681	Germany
Cabo Verde	1682	137	925	700	673	217	1091	117	83	1141	697	594	Germany
Sao Tome and Principe	253	46	190	258	862	484	4	1	840	484	67	586	Germany
Korea, Democratic People's Republic of	35729	43662	49670	11949	12331	12016	3632	3699	1902	248	229	547	Germany
Antigua and Barbuda	1165	20835	7195	324	820	503	143	17948	1348	12570	8884	498	Germany
Curaçao	0	0	735	25649	763	2131	479	1903	1153	2080	814	485	Germany
Gambia	117	63	201	419	741	1533	754	178	337	548	758	369	Germany
Samoa	9	152	635	113	191	1479	221	419	162	379	334	289	Germany
Cayman Islands	1807	17	312188	135807	277227	7497	296	1382	1146	295	5173	279	Germany
Eritrea	2687	245	177	177	55	56	6231	2	22	84	127	258	Germany
Bermuda	31047	70728	70540	635	329	485	476	262336	931	763	1025	253	Germany
Bhutan	415	3	1780	1394	6743	10441	11901	1756	5094	8656	1363	252	Germany
Saint Vincent and the Grenadines	195	16	42	22	0	4	24	20	0	26	86	221	Germany
Dominica	248	30	0	64	103	6	22	92	151	84	185	219	Germany
Aruba	11762	171	307	318	181	288	969	155	56	110	157	193	Germany
Kiribati	20	12	52	31	20	11	32	60	54	25	67	186	Germany
Sint Maarten (Dutch part)	0	0	0	0	262	85	111	130	105	146	116	181	Germany
Vanuatu	743	450	216	228	143	157	17	28	0	9	50	169	Germany
Solomon Islands	265	3042	7367	5557	18018	1897	397	2514	7036	85	48	78	Germany
Northern Mariana Islands	43	0	0	0	0	0	46	0	0	0	52	66	Germany
Saint Lucia	125	83	52	103	304	151	248	212	62	83	69	66	Germany
Guam	0	0	0	0	0	0	37	141	110	8	2	59	Germany
Cocos (Keeling) Islands	3	0	0	0	0	0	0	45	0	33	0	54	Germany
Tuvalu	2	0	1	0	5	0	15	19	100	210	142	54	Germany
Cook Islands	56	67	24	8	0	514	2042	3992	3553	74	79	43	Germany
British Virgin Islands	26880	3495	1272	1191	216073	47	157099	6655	1530	2520	2536	42	Germany
Anguilla	3324	1167	499	270	86	24	10	14	18	70	51	39	Germany
Turks and Caicos Islands	7	0	3	20	24	22	0	0	20	37	58	36	Germany
Nauru	32	0	0	1	6	5	18	15	13	2	22	31	Germany
Christmas Island	19	31	28	25	57	67	173	1	0	0	1	30	Germany
British Indian Ocean Territory	41	0	0	17	0	0	0	5	0	12	47	25	Germany
Palau	0	28	40	88	150	45	43	48	81	41	38	23	Germany
Micronesia, Federated States of	35	47	62	81	61	27	33	55	13	31	13	19	Germany
South Sudan	0	0	0	0	14	42	92	289	98	145	63	13	Germany
Wallis and Futuna Islands	0	0	0	0	0	0	0	0	0	0	0	8	Germany
Montserrat	47	16	1	4	0	26	0	0	0	2	1	7	Germany
Western Sahara	0	0	0	0	0	12	0	0	0	0	9	6	Germany
Pitcairn	355	5	0	9	9	5	3	0	0	21	257	4	Germany
Tonga	40	0	1445	14	0	10	39	12	33	117	51	1	Germany
Bonaire, Sint Eustatius and Saba	0	0	0	0	396	154	0	0	0	0	0	0	Germany
Norfolk Island	3	0	0	0	0	0	2	0	0	0	0	0	Germany
Africa not elsewhere specified	1381	772	1048	717	138	161	0	0	0	0	0	0	Germany
Guinea-Bissau	0	289	3	0	0	0	46	0	0	150	2	0	Germany
St. Pierre and Miquelon	0	0	0	0	0	0	9	0	0	0	0	0	Germany
Special categories	35526939	33774103	49712572	44400700	44527148	38367174	0	0	0	0	0	0	Germany
Mayotte	27	0	51	0	6	0	0	0	0	0	0	0	Germany
Netherlands Antilles	5085	1268	0	0	0	0	0	0	0	0	0	0	Germany
Sudan (before 2012)	21207	22511	0	0	0	0	0	0	0	0	0	0	Germany
World	4712899	4776840	5908917	6434216	6552182	6502674	5595355	5477912	6728704	8081617	8146866	7820339	Senegal
France	955870	942202	1018421	948741	1012303	1069495	917069	870973	989949	1025519	1367349	1224970	Senegal
China	391684	397073	390381	378542	476723	473851	544214	564595	654482	897650	871078	720159	Senegal
Netherlands	187346	253063	385289	181833	542219	537303	230336	289781	375678	527972	550953	482454	Senegal
European Union Nes	0	0	0	0	0	0	0	0	266602	485735	563429	465551	Senegal
Nigeria	415066	488377	541237	757772	703738	524132	452837	424809	532641	700593	419116	447503	Senegal
Spain	187504	189578	199905	220958	316077	235504	289340	267711	235499	317335	332725	395998	Senegal
Russian Federation	26875	37001	44707	210614	70416	92893	127429	92076	139793	239617	364028	353601	Senegal
India	95370	117332	118628	427592	413083	386198	354885	417270	491078	520221	276971	334927	Senegal
Turkey	58430	84100	223890	167378	182071	281768	143615	140121	230631	378981	303374	278415	Senegal
United Arab Emirates	24427	61811	56442	68932	84286	113335	132058	157855	160340	114937	152209	218654	Senegal
United States of America	131849	127330	287175	174466	152132	142523	139011	122668	140204	201834	159760	204534	Senegal
Brazil	171651	128064	179980	126258	135753	78684	88713	120962	135721	111759	123271	171138	Senegal
Germany	159514	107708	107453	122848	157325	201934	176563	128941	284013	188869	159625	149504	Senegal
Italy	149311	96500	171459	128629	124219	121699	137065	132539	152076	201140	134971	147371	Senegal
Morocco	73471	52270	58147	111382	116523	81784	74646	94983	103769	118184	127715	147226	Senegal
Switzerland	19092	32734	57183	48630	50336	40096	33659	35248	37897	57064	89412	120806	Senegal
Japan	87297	116283	101620	135446	134897	125256	124691	124464	120837	142790	140259	109505	Senegal
Ghana	14589	14158	12414	11459	13776	17232	29537	55443	69498	42214	73339	109230	Senegal
Ukraine	56244	112427	65167	81443	96662	86031	63581	70490	95807	194871	144494	108078	Senegal
Côte d'Ivoire	184360	113410	186008	181817	145805	151258	100901	104806	124395	89660	94209	102148	Senegal
Argentina	98686	111946	100591	118956	73170	72706	58347	57072	93502	119109	102463	99986	Senegal
Poland	8280	14977	18835	33626	34764	22106	37806	55470	52345	61127	81323	91457	Senegal
South Africa	90624	82409	104649	103195	101327	118484	98136	91123	120482	127960	100357	85521	Senegal
Malaysia	13844	14902	18713	22023	39656	51157	32242	37749	57848	72953	67051	83272	Senegal
Thailand	225169	155495	195273	110428	95505	124738	105242	99954	143579	122472	117573	74355	Senegal
Finland	13475	13211	14259	111211	14017	19000	55416	33212	25469	21280	20576	71652	Senegal
Korea, Republic of	44683	39908	41763	65338	80986	47912	68389	49424	55470	67292	49269	63843	Senegal
United Kingdom	157573	234368	311089	327647	191348	200230	91469	52434	65308	69159	61974	62739	Senegal
Pakistan	12924	17852	12762	22957	21143	6761	34613	19391	8410	35808	51872	47992	Senegal
Viet Nam	80718	52489	120736	29539	25522	17505	8404	4219	8543	6070	26920	44318	Senegal
Canada	33948	27803	28789	39326	29424	28173	22606	19061	25174	32082	36187	40561	Senegal
Tunisia	32681	23134	28340	40143	48061	39894	38612	40490	52965	44693	46489	39819	Senegal
Togo	3795	3638	2206	38102	31372	38637	13013	7435	14249	38587	40811	39220	Senegal
Egypt	22905	28222	14017	20592	38606	23095	19527	28009	21694	23087	35627	35520	Senegal
Ireland	22756	24985	22707	17059	32645	24962	13472	17166	15250	31719	36739	32370	Senegal
Indonesia	19544	13095	20812	21803	38598	41466	27224	21833	23777	20802	31649	31596	Senegal
Sweden	15631	15019	19714	42777	32487	29365	24413	23254	23928	22396	25795	29251	Senegal
Portugal	55762	54164	44343	64217	70649	58458	47448	30660	41837	44857	38031	28561	Senegal
Hong Kong, China	5309	5018	3835	6165	7973	10457	12203	7683	19261	24558	30286	28529	Senegal
Algeria	1469	589	584	343	600	2367	4530	24709	8178	8017	6248	26401	Senegal
Saudi Arabia	14760	13349	24239	23766	42598	40147	34650	24163	28770	32350	24798	25049	Senegal
Denmark	9988	19671	6749	5892	6310	7803	8300	7929	9851	26457	154039	22943	Senegal
Norway	3458	383	453	1646	349	250	561	1180	3146	3718	8379	22131	Senegal
Myanmar	0	0	0	334	0	0	0	0	3249	1444	3101	21683	Senegal
Cameroon	9591	8990	9969	28579	16120	13032	12217	14111	29836	24595	32194	19860	Senegal
Singapore	7881	10699	12170	17546	14381	77265	139225	74884	73877	155031	146006	19322	Senegal
Samoa	0	0	0	0	0	0	0	0	0	0	0	19209	Senegal
Gambia	82	2107	959	1203	1119	1552	1053	235	3040	8229	3059	18166	Senegal
Iran, Islamic Republic of	17849	7901	66185	23314	3900	4219	19535	27513	35342	16706	18538	17747	Senegal
Area Nes	13688	15277	5749	647	2551	12619	125	8499	10059	13929	26267	16619	Senegal
Mauritania	138	721	4548	6433	8565	5763	4935	8893	6249	12531	5699	13851	Senegal
Greece	13408	2474	1564	3684	2169	2896	7114	9444	4053	7754	22721	13717	Senegal
Australia	12373	12551	34269	70265	54877	8489	12287	7931	45178	10453	10119	13005	Senegal
Uruguay	19628	37599	36335	16023	20600	6003	382	4018	7471	7279	20952	12616	Senegal
Bulgaria	829	872	6051	4550	10807	6495	5314	4566	7656	8050	5773	11710	Senegal
Qatar	677	349	1562	20649	3655	8860	9721	4272	3683	5830	7865	11268	Senegal
Lebanon	8937	9431	9478	5184	3135	3495	18113	4699	9941	9631	5423	10522	Senegal
Belarus	9004	1141	9192	8842	127	792	87	90	5338	4207	12259	10170	Senegal
Albania	0	2123	6569	6935	9906	9855	8518	6126	5859	5779	4963	8599	Senegal
Israel	4976	3259	10310	24690	45032	2642	10910	6178	5962	1761	2047	8449	Senegal
Romania	3178	4574	6688	13612	6855	4618	4688	5502	8539	14579	6814	7881	Senegal
Lithuania	3934	1698	2044	1564	666	64	315	6303	1295	1955	2669	7745	Senegal
Hungary	2388	1170	3158	1647	9122	7737	9267	10768	14065	12699	8509	7301	Senegal
United States Minor Outlying Islands	0	0	177	14	15	0	0	0	2675	186	1371	7015	Senegal
Guatemala	0	0	5	1601	1356	115	0	16232	19243	1036	3190	5885	Senegal
Iceland	140	5712	10082	940	689	577	1231	383	996	3986	4028	5847	Senegal
Liberia	14	194	0	5	44	0	145	2117	0	19	13	5701	Senegal
Malta	1583	429	371	2090	1865	1896	1967	2555	2138	1763	6131	5694	Senegal
Trinidad and Tobago	11364	16189	27359	3411	19454	32	8680	7845	6880	14013	6060	5663	Senegal
Angola	0	10	80	5	214	435	17347	1445	144	1901	490	5300	Senegal
Mozambique	0	0	130	84	3566	6	627	952	844	18604	13971	5270	Senegal
Mexico	1526	332	270	277	6027	1400	907	3947	2226	3103	4455	5032	Senegal
Czech Republic	4716	3858	3624	4071	3665	4431	5370	4719	5580	3937	3908	4545	Senegal
Sierra Leone	1594	19	112	343	262	3119	2180	1193	3273	11431	7023	4373	Senegal
Austria	4172	4513	3800	7312	6327	12748	6499	5313	16015	6500	8190	4275	Senegal
Oman	995	506	7620	10048	5848	866	534	389	933	1767	3337	3997	Senegal
Colombia	781	834	1554	22506	757	1805	1129	1760	3623	2593	2809	3979	Senegal
Bahamas	22	10	68	5	1318	3	27	0	94	44	238	3556	Senegal
Slovakia	875	465	672	451	2427	479	730	2219	3485	3511	4998	3420	Senegal
Somalia	0	0	0	0	0	2	0	0	8	235	1354	3069	Senegal
Paraguay	2783	3538	586	1796	2939	2452	7350	3218	9746	505	3874	2795	Senegal
Mali	1921	363	4220	780	660	1482	1853	7120	7161	1885	3199	2737	Senegal
Antigua and Barbuda	0	2	612	6607	6874	19832	12009	7752	3127	196	5550	2665	Senegal
Kazakhstan	12	278	0	0	3952	2	9962	4065	3190	0	11952	2652	Senegal
Haiti	0	0	1	0	1	27	66	200	975	307	6004	2641	Senegal
Central African Republic	2	1	354	116	111	0	5	5	0	0	13	2553	Senegal
Bahrain	159	61	229	38	27	11	308	483	4235	4319	3591	2445	Senegal
Taipei, Chinese	7131	5582	3986	3640	4052	5882	5634	2805	3641	12840	4098	2400	Senegal
Guinea	2621	2227	301	293	212	1134	2786	3323	5011	10338	1824	2298	Senegal
Sudan	0	0	0	20	561	109	447	93	218	467	10633	1735	Senegal
Benin	1134	7848	33869	2995	1142	79	1267	366	580	864	784	1630	Senegal
Panama	29	188	225	134	295	139	152	674	1511	73	162	1604	Senegal
Slovenia	158	624	200	143	47	29	62	38	0	0	0	1586	Senegal
Kuwait	750	230	656	1397	279	277	6122	1115	1413	1515	1791	1295	Senegal
Mauritius	2643	1571	173	612	28	826	2353	4257	2621	1742	600	1243	Senegal
Congo, Democratic Republic of the	58	62	22484	248	79	2	19	172	1355	164	976	1192	Senegal
New Zealand	20076	20674	21152	21396	11946	14499	20577	13881	6624	11213	5308	1131	Senegal
Kenya	238	145	8594	518	1293	435	400	416	496	514	1235	1099	Senegal
Cambodia	44	90	3	213	938	910	104	111	692	151	684	965	Senegal
Jordan	51	419	78	205	378	334	625	880	918	312	519	926	Senegal
Gabon	364	6707	435	402	298	213	310	3302	2054	316	676	839	Senegal
Croatia	1	5	35	0	2	661	26	216	52	0	990	795	Senegal
Chile	522	671	448	605	459	684	575	788	731	342	928	751	Senegal
Korea, Democratic People's Republic of	1236	452	1003	326	161	150	302	345	176	470	657	689	Senegal
Congo	3349	380	2076	60	14	176	664	4306	1752	2011	739	676	Senegal
Burkina Faso	66	191	49	74	204	181	59	551	90	14	418	549	Senegal
Serbia	711	203	117	2767	513	316	483	47	0	19	413	482	Senegal
Cabo Verde	352	80	834	33	24	188	264	80	8	11	687	476	Senegal
Afghanistan	0	77	1620	2058	2206	1616	303	1063	208	217	684	473	Senegal
Bolivia, Plurinational State of	0	60	0	0	0	0	0	2187	0	0	0	461	Senegal
Mongolia	0	0	7	3	0	0	4	0	471	0	2	405	Senegal
Costa Rica	1	1765	534	467	212	427	353	661	418	1014	1732	399	Senegal
Georgia	0	0	887	739	392	1835	201	1190	2720	4656	355	387	Senegal
Niger	4	50	97	380	262	156	50	29	145	963	1663	384	Senegal
Uganda	110	216	250	3	3	180	43	9	34	48	515	326	Senegal
Peru	1412	1969	2201	2015	1571	2052	1439	519	348	467	544	320	Senegal
Timor-Leste	602	501	108	61	0	0	0	13	14	29	129	243	Senegal
Philippines	1182	864	1986	1118	667	1038	489	202	984	559	289	237	Senegal
Malawi	204	134	100	62	49	63	53	293	82	301	415	228	Senegal
Montenegro	2	691	50	58	1034	63	71	1605	42	885	58	211	Senegal
Latvia	223	1324	35	13771	13022	407	171	51	11	347	36	206	Senegal
Tanzania, United Republic of	340	200	2118	613	1092	185	233	829	1022	566	135	205	Senegal
Sri Lanka	61	17	23	3	26	23	39	96	76	106	185	182	Senegal
Venezuela, Bolivarian Republic of	152	0	23420	63427	183	16314	204	2363	4753	24	523	171	Senegal
Ethiopia	9	2	12	162	109	382	242	17	30	29	107	160	Senegal
Chad	0	10	0	155	0	2	0	0	0	0	2	150	Senegal
Azerbaijan	0	0	80	151	160	308	3556	227	66	1378	1251	144	Senegal
Bangladesh	2738	913	1166	278	115	42	32	146	14	33	168	119	Senegal
Estonia	361	928	475	157	895	495	34	3463	19170	57	165	113	Senegal
Ecuador	203	81	120	0	438	16	19	76	503	26	314	107	Senegal
Madagascar	1	8	58	57	156	29	12	33	12	173	108	105	Senegal
Zambia	0	196	55	30	18	10	10	108	51	1	32	84	Senegal
Belize	0	0	0	0	0	0	0	0	11	197	449	68	Senegal
Armenia	124	109	428	294	155	483	0	2882	2739	45	259	62	Senegal
Nauru	0	0	58	0	7	15	2	141	104	0	7	60	Senegal
Macao, China	23	0	0	0	0	10	2	8	6	59	441	56	Senegal
Iraq	546	76	49	44	0	0	53	17	0	0	54	46	Senegal
Bosnia and Herzegovina	0	0	27	20	325	156	314	44	157	67	9	43	Senegal
Syrian Arab Republic	6394	4369	4018	1591	617	12	30	0	26	95	22	43	Senegal
Eswatini	18	129	435	2978	448	668	251	2143	2	567	749	42	Senegal
Guinea-Bissau	1	43	8	57	32	0	81	18	0	9	17	40	Senegal
Cuba	435	357	214	81	360	98241	5309	228	163	1170	1944	40	Senegal
Saint Helena	165	0	2	1341	8	0	24	99	5	132	498	36	Senegal
Djibouti	4	1926	0	0	378	2	4	0	18	242	16	34	Senegal
Honduras	209	15367	112	83	96	567	1677	10	118	24	14	33	Senegal
Papua New Guinea	0	0	0	43	23	0	0	192	22	201	59	31	Senegal
Nicaragua	0	26	17	20	56	113	14	1	13764	9	1	28	Senegal
Brunei Darussalam	0	0	11	14	2	85	0	91	42	30	109	17	Senegal
Yemen	9	5	2	0	0	18	5	0	0	0	0	15	Senegal
Andorra	2	11	0	102	7	1	0	639	0	37	48	14	Senegal
Turks and Caicos Islands	0	0	0	0	0	0	0	0	19	22	70	13	Senegal
Suriname	0	0	1	5	0	0	0	521	253	161	73	10	Senegal
Cyprus	112	31	45	34	706	42	398	44	105	28	0	9	Senegal
Rwanda	204	0	0	0	2	19	0	0	0	0	705	7	Senegal
Libya, State of	262	2	27	1	1	0	1	1574	3258	4999	34	5	Senegal
Tonga	0	0	0	5	68	1	0	0	0	0	16	4	Senegal
Equatorial Guinea	174	488	24889	20111	1326	2341	2289	5262	8857	106	4072	0	Senegal
Faroe Islands	31	2	15	0	0	0	0	0	0	0	0	0	Senegal
Falkland Islands (Malvinas)	0	0	0	0	0	3	0	2	0	0	26	0	Senegal
Gibraltar	4327	5	0	24736	5	0	1	295	162	0	94	0	Senegal
Lao People's Democratic Republic	69	0	0	0	1	0	0	0	14	1	0	0	Senegal
Niue	0	0	378	2144	0	1597	153	0	0	0	0	0	Senegal
Africa not elsewhere specified	284	492	0	0	0	0	0	0	0	0	0	0	Senegal
St. Pierre and Miquelon	0	0	0	33	0	0	0	9	0	0	0	0	Senegal
Tokelau	0	0	0	0	4072	0	0	0	0	0	0	0	Senegal
Ship stores and bunkers	0	0	0	0	0	114	6823	51	14	118	6	0	Senegal
Belgium	108066	95999	95128	188367	230113	326395	166988	161494	0	0	0	0	Senegal
Bermuda	0	0	0	102	0	3	0	0	0	0	0	0	Senegal
Bhutan	0	0	0	1	93	0	0	0	0	0	4	0	Senegal
Botswana	0	0	1	105	1	0	0	0	0	0	0	0	Senegal
Burundi	0	0	0	0	8	19	6	27	0	0	0	0	Senegal
Comoros	0	9	0	0	0	0	0	0	0	0	0	0	Senegal
Cook Islands	0	0	1	2	3	32	1	0	0	0	0	0	Senegal
Dominican Republic	1	7	212	113	225	260	309	403	0	0	0	0	Senegal
El Salvador	0	0	78	0	0	3	54	8	0	3	6	0	Senegal
French Polynesia	6	0	0	7	5	0	0	0	0	0	0	0	Senegal
Kiribati	0	0	0	0	18	0	0	0	0	0	0	0	Senegal
Greenland	0	0	0	0	0	0	0	5	0	0	0	0	Senegal
Guyana	0	0	0	0	2	0	0	0	16	34	0	0	Senegal
Jamaica	4	0	0	0	0	0	12	4	3	1	0	0	Senegal
Lesotho	0	0	0	10	0	0	0	0	0	0	0	0	Senegal
Maldives	38	0	0	0	0	0	0	0	0	64	0	0	Senegal
Namibia	0	7	94	118	51	1	7	2	323	34	21	0	Senegal
Nepal	0	0	0	0	0	0	1	0	0	4	22	0	Senegal
Netherlands Antilles	2484	0	0	0	0	0	0	0	0	0	0	0	Senegal
Curaçao	0	0	0	0	0	0	0	118	0	0	0	0	Senegal
Aruba	0	0	0	0	0	3843	0	1191	0	0	0	0	Senegal
New Caledonia	0	0	0	4	0	0	30	0	0	0	0	0	Senegal
Saint Vincent and the Grenadines	46	283	785	4	0	0	0	42	82	0	0	0	Senegal
Seychelles	0	0	45	82	0	0	215	95	48	111	22	0	Senegal
Zimbabwe	0	85	0	26	3	0	0	9	25	7	0	0	Senegal
Sudan (before 2012)	569	356	29	0	0	0	0	0	0	0	0	0	Senegal
World	140928421	185544332	240841676	236545141	260822803	251142429	207235628	198601934	233799651	223046879	210346890	219514373	Turkey
China	12676573	17180806	21693336	21295242	25260751	25732865	24873457	25440454	23370620	20719061	19127972	23040812	Turkey
Germany	14096963	17549112	22985567	21400614	25598452	23482150	21351883	21473789	21301869	20407294	19279082	21732800	Turkey
Russian Federation	19450086	21600641	23952914	26625286	26046541	25411700	20401756	15160961	19514094	21989574	23116867	17829236	Turkey
Area Nes	4820143	6703002	8788338	12589128	8267	2976	9781883	6738141	8239672	11038416	15148738	13685863	Turkey
United States of America	8575892	12322789	16042073	14130625	13350844	13465362	11141465	10867491	11951744	12377681	11847481	11525182	Turkey
Italy	7594949	10140671	13452359	13345874	13533284	12948320	10641582	10220724	11306054	10155669	9350999	9201429	Turkey
Iraq	120558	153476	86753	149328	161000	283128	296505	836298	1527573	1420433	2678193	8201655	Turkey
Switzerland	2001886	3155726	5021487	4307344	9800066	4997706	2449606	2506215	6903610	2818664	3377053	7771743	Turkey
France	7091795	8176600	9229558	8589896	8650205	8584304	7597687	7364555	8070897	7413025	6760052	6988092	Turkey
Korea, Republic of	3118214	4764057	6298483	5660093	6357876	7731590	7057423	6384206	6608874	6343174	5776952	5734339	Turkey
United Arab Emirates	667857	698421	1649456	3596545	5437605	3485288	2008690	3701152	5546921	3780736	4388996	5603801	Turkey
United Kingdom	3473433	4680611	5840380	5629455	6582729	6195865	5541277	5320624	6548620	7446107	5638293	5582391	Turkey
Spain	3776924	4840127	6196466	6023718	6624006	6293257	5588528	5678913	6372911	5492454	4446670	5039416	Turkey
India	1902607	3409938	6498651	5843638	6739652	7196350	5613570	5757156	6216639	7534783	6635225	4830121	Turkey
Japan	2781971	3297796	4263730	3601427	3753678	3481908	3140057	3943602	4281472	4124170	3647888	3742695	Turkey
Belgium	2371516	3213606	3959279	3690309	3983785	4017369	3146940	3200738	3728941	3571445	3229469	3716088	Turkey
Netherlands	2543073	3156000	4004955	3660634	3512108	3618175	2914731	3000195	3747619	3304581	3202977	3628593	Turkey
Brazil	1105890	1347525	2074354	1770094	1485005	1839058	1792241	1787944	2544928	3257706	2655109	3228353	Turkey
Poland	1817093	2620956	3496189	3058078	3387726	3252300	2977656	3244197	3445906	3101677	2603243	3005108	Turkey
Romania	2257963	3449195	3801297	3236425	3716898	3540608	2599758	2195672	2480196	2447471	2770909	2769255	Turkey
Czech Republic	1028650	1327672	1755452	2005342	2756896	2514898	2218335	2561650	2828107	2650330	2338360	2746268	Turkey
Ukraine	3156659	3832744	4812060	4394200	4607646	4295993	3448171	2547401	2817133	2645555	2725463	2590375	Turkey
Bulgaria	1116902	1702534	2474621	2753650	2810687	2924659	2254150	2139942	2773127	2501393	2384901	2124160	Turkey
Malaysia	960938	1124036	1567503	1278247	1352519	1286532	1339168	1996907	3138558	2132979	1847831	1990602	Turkey
Sweden	1890994	1922793	2284367	2135410	2096012	2071304	1585004	1478332	1776955	1730645	1578251	1763749	Turkey
Egypt	641552	926476	1382216	1342051	1718720	1535280	1215905	1443408	1997503	2190937	1903805	1722944	Turkey
Saudi Arabia	775784	1380601	2001529	2171043	1984240	2429327	2117220	1835230	2110161	2318411	2005217	1719668	Turkey
Libya, State of	357417	425652	139763	416152	306670	259010	195796	161021	247965	367010	483502	1674297	Turkey
Israel	1074727	1359639	2057314	1710401	2704627	3062733	1672501	1385595	1505113	1714355	1600986	1496260	Turkey
Hungary	987290	1382213	1494488	1184452	1280783	1236516	1305755	1301049	1513474	1394691	1308084	1470670	Turkey
Austria	1203634	1439448	1736366	1634272	1845346	1895579	1568026	1521240	1472591	1494570	1360987	1465021	Turkey
Taipei, Chinese	1342410	1843033	2025398	2058797	1954835	2091600	1944558	1597302	1986582	1635408	1283468	1443471	Turkey
Viet Nam	456660	751327	1009484	1213957	1688337	2078118	1756262	1735872	3048050	1844612	1574587	1368555	Turkey
Greece	1131065	1541600	2568826	3539869	4072881	4371046	1860935	1184782	1833068	2104900	1475001	1320976	Turkey
Thailand	957189	1280624	1592303	1311960	1494879	1422249	1209785	1482292	1983171	1372407	1140705	1210574	Turkey
Iran, Islamic Republic of	3405986	7645008	12461532	11964779	10545622	10076091	6096254	4699777	7492104	6931258	3608219	1192718	Turkey
Indonesia	1017888	1476659	1931717	1795778	2142499	2091867	1638245	1424722	1506817	1333898	1352296	1184801	Turkey
Kazakhstan	959455	1392528	1995115	2056086	1758429	1222772	1109832	1093897	1463158	1470257	1403956	1180549	Turkey
Canada	937365	915317	1311540	953717	1446937	1208970	929038	1062948	2166996	1980527	1631777	1078396	Turkey
Colombia	382984	296766	678255	814146	707442	812679	800824	945439	1610652	1888539	1438051	1013176	Turkey
Finland	795959	1115496	1296728	1114790	1310326	1188441	1011793	942114	938900	984048	911244	1009074	Turkey
Slovakia	814138	926722	893168	871459	1116243	942509	858634	951212	895136	767136	771584	978370	Turkey
Uzbekistan	413079	861373	939882	813287	853058	846432	711555	709292	823275	795545	1140193	969984	Turkey
Portugal	417988	503658	606557	644369	714201	815779	640306	658281	684344	654352	903201	960101	Turkey
Ireland	815650	873961	839241	845458	844194	921367	840352	824413	970307	889838	826110	916994	Turkey
South Africa	1103313	889635	1954586	1289821	1463591	1156682	918541	1058114	1744438	1381537	754214	887896	Turkey
Denmark	585094	678757	732781	720889	860366	1074490	806493	910557	808426	812854	963144	843891	Turkey
Mexico	335226	494608	699394	867154	1040446	1059804	860675	820919	771854	634225	742975	833480	Turkey
Norway	771741	828588	796292	916821	1042361	868905	657520	627523	840346	764975	775898	682064	Turkey
Morocco	234729	396798	419945	429482	579508	638135	710636	918164	924062	715715	713306	642097	Turkey
Bangladesh	523576	844661	895967	766376	880545	891469	995970	881039	737094	484484	508630	569883	Turkey
Algeria	768995	1068380	1150325	924934	711359	924505	740547	463775	766803	1138064	719267	567384	Turkey
Argentina	225821	281128	490574	367894	523496	476877	234495	382191	450272	357905	514803	557478	Turkey
Lithuania	81458	119165	148101	218347	354024	290260	244564	281307	492910	410412	304062	459100	Turkey
Serbia	66075	123130	223407	214631	268980	343218	246162	296744	422882	335683	446288	445909	Turkey
Azerbaijan	140599	252525	262263	339936	612678	482576	232376	278131	350870	378734	411022	410710	Turkey
Australia	619534	444884	747042	804439	1224853	555550	544815	607447	2200655	1082502	1034272	406721	Turkey
Slovenia	249577	291314	348936	311875	326366	322355	343784	296053	381447	316899	372143	390164	Turkey
Georgia	285486	290725	314352	180351	241236	275018	223107	211680	215276	233872	272350	348884	Turkey
Oman	16584	39464	56558	52849	165343	112306	60169	49087	95049	67441	226561	329577	Turkey
Côte d'Ivoire	90843	97215	138920	121289	138452	278219	274350	251303	300760	203259	183592	322638	Turkey
Turkmenistan	327559	386342	392712	303507	789020	764097	557356	422492	403553	260995	344774	319387	Turkey
Qatar	85652	177046	481018	466499	388242	407736	360978	271083	264126	335320	310668	301505	Turkey
Singapore	202473	210769	354254	222535	369901	354964	365286	363236	400178	352145	286385	299749	Turkey
Chile	200387	311709	474341	466042	421587	384090	282572	232972	265000	370584	250964	294600	Turkey
Ghana	102095	194358	292273	303476	176443	152234	168907	180478	128019	79300	102274	294085	Turkey
Peru	69225	78575	58487	101186	90233	72741	62439	59880	75645	108299	72832	288600	Turkey
Pakistan	619219	749931	873131	555012	435241	438795	310545	263352	323117	330748	306310	268751	Turkey
